縣市,VILLAGE_ID,區域,村里,County_ID,投票人口,DPP,KMT,OTR,Votes
新北市,6500100-001,新北市板橋區,留侯里,65,1359,440,519,0,959
新北市,6500100-002,新北市板橋區,流芳里,65,1584,739,845,223,1142
新北市,6500100-003,新北市板橋區,赤松里,65,835,410,425,132,578
新北市,6500100-004,新北市板橋區,黃石里,65,1202,592,610,211,830
新北市,6500100-005,新北市板橋區,挹秀里,65,1783,872,911,231,1292
新北市,6500100-006,新北市板橋區,湳興里,65,5762,2780,2982,704,4432
新北市,6500100-007,新北市板橋區,新興里,65,3338,1601,1737,353,2553
新北市,6500100-008,新北市板橋區,社後里,65,9219,5116,4103,736,7493
新北市,6500100-009,新北市板橋區,香社里,65,4570,2268,2302,547,3577
新北市,6500100-010,新北市板橋區,中正里,65,4596,2260,2336,602,3597
新北市,6500100-011,新北市板橋區,自強里,65,5437,2655,2782,648,4016
新北市,6500100-012,新北市板橋區,自立里,65,2980,1439,1541,376,2239
新北市,6500100-013,新北市板橋區,光華里,65,2846,1406,1440,325,2153
新北市,6500100-014,新北市板橋區,國光里,65,3926,1928,1998,376,2993
新北市,6500100-015,新北市板橋區,港尾里,65,3036,1425,1611,431,2366
新北市,6500100-016,新北市板橋區,金華里,65,4192,2061,2131,549,3220
新北市,6500100-017,新北市板橋區,港德里,65,5137,2520,2617,634,3916
新北市,6500100-018,新北市板橋區,民權里,65,2763,1373,1390,313,1998
新北市,6500100-019,新北市板橋區,建國里,65,3782,1850,1932,438,2866
新北市,6500100-020,新北市板橋區,漢生里,65,4532,2184,2348,647,3300
新北市,6500100-021,新北市板橋區,公?里,65,4191,2070,2121,646,3034
新北市,6500100-022,新北市板橋區,新民里,65,4720,2320,2400,773,3432
新北市,6500100-023,新北市板橋區,幸福里,65,4261,2122,2139,560,3222
新北市,6500100-024,新北市板橋區,忠誠里,65,4243,2068,2175,558,3071
新北市,6500100-025,新北市板橋區,百壽里,65,2529,1216,1313,384,1830
新北市,6500100-026,新北市板橋區,介壽里,65,3241,1562,1679,443,2399
新北市,6500100-027,新北市板橋區,新埔里,65,2233,1080,1153,215,1711
新北市,6500100-028,新北市板橋區,華江里,65,7677,3551,4126,1415,5674
新北市,6500100-029,新北市板橋區,江翠里,65,4969,2459,2510,602,3835
新北市,6500100-030,新北市板橋區,純翠里,65,5672,2767,2905,692,4446
新北市,6500100-031,新北市板橋區,溪頭里,65,6291,3090,3201,809,4845
新北市,6500100-032,新北市板橋區,聯翠里,65,3782,1783,1999,454,2898
新北市,6500100-033,新北市板橋區,宏翠里,65,5003,2393,2610,631,3992
新北市,6500100-034,新北市板橋區,仁翠里,65,3072,1496,1576,349,2386
新北市,6500100-035,新北市板橋區,新翠里,65,8175,3938,4237,1019,6603
新北市,6500100-036,新北市板橋區,吉翠里,65,3975,1939,2036,515,3163
新北市,6500100-037,新北市板橋區,德翠里,65,7670,3760,3910,1206,6062
新北市,6500100-038,新北市板橋區,滿翠里,65,3186,1548,1638,363,2456
新北市,6500100-039,新北市板橋區,明翠里,65,5135,2489,2646,593,3928
新北市,6500100-040,新北市板橋區,松翠里,65,3561,1735,1826,428,2755
新北市,6500100-041,新北市板橋區,柏翠里,65,4237,2024,2213,558,3222
新北市,6500100-042,新北市板橋區,龍翠里,65,5263,2576,2687,619,4170
新北市,6500100-043,新北市板橋區,華翠里,65,3909,1889,2020,636,2930
新北市,6500100-044,新北市板橋區,忠翠里,65,10990,5217,5773,1981,8268
新北市,6500100-045,新北市板橋區,嵐翠里,65,2662,1344,1318,322,2043
新北市,6500100-046,新北市板橋區,文翠里,65,4201,2081,2120,475,3229
新北市,6500100-047,新北市板橋區,青翠里,65,3198,1630,1568,363,2497
新北市,6500100-048,新北市板橋區,懷翠里,65,6265,3120,3145,689,4991
新北市,6500100-049,新北市板橋區,福翠里,65,1434,731,703,132,1105
新北市,6500100-050,新北市板橋區,港嘴里,65,6422,3202,3220,719,5109
新北市,6500100-051,新北市板橋區,振興里,65,4627,2290,2337,501,3601
新北市,6500100-052,新北市板橋區,振義里,65,4414,2165,2249,496,3446
新北市,6500100-053,新北市板橋區,光復里,65,3455,1749,1706,439,2657
新北市,6500100-054,新北市板橋區,埔墘里,65,6504,3107,3397,749,5116
