VILLAGE_ID,縣市,鄉鎮,村里,當選,姓名,票數,政黨,得票數,COUNTY_ID,Villige_NAME
6300100-002,臺北市,松山區,莊敬里,0,高士恩,5,大愛憲改聯盟,9,63,松山區莊敬里
6300100-002,臺北市,松山區,莊敬里,0,潘建志,268,無,1030,63,松山區莊敬里
6300100-002,臺北市,松山區,莊敬里,0,林新凱,3,台灣獨立黨,13,63,松山區莊敬里
6300100-002,臺北市,松山區,莊敬里,0,趙燕傑,2,無,5,63,松山區莊敬里
6300100-002,臺北市,松山區,莊敬里,0,邱正浩,5,和平鴿聯盟黨,14,63,松山區莊敬里
6300100-002,臺北市,松山區,莊敬里,0,陳科引,13,無,27,63,松山區莊敬里
6300100-002,臺北市,松山區,莊敬里,0,李晏榕,103,綠黨社會民主黨聯盟,360,63,松山區莊敬里
6300100-002,臺北市,松山區,莊敬里,0,李成嶽,7,軍公教聯盟黨,13,63,松山區莊敬里
6300100-002,臺北市,松山區,莊敬里,0,黃麗香,1,無,6,63,松山區莊敬里
6300100-002,臺北市,松山區,莊敬里,1,蔣萬安,584,中國國民黨,1579,63,松山區莊敬里
6300100-003,臺北市,松山區,東榮里,0,高士恩,2,大愛憲改聯盟,10,63,松山區東榮里
6300100-003,臺北市,松山區,東榮里,0,潘建志,371,無,1698,63,松山區東榮里
6300100-003,臺北市,松山區,東榮里,0,林新凱,4,台灣獨立黨,14,63,松山區東榮里
6300100-003,臺北市,松山區,東榮里,0,趙燕傑,1,無,10,63,松山區東榮里
6300100-003,臺北市,松山區,東榮里,0,邱正浩,2,和平鴿聯盟黨,5,63,松山區東榮里
6300100-003,臺北市,松山區,東榮里,0,陳科引,10,無,38,63,松山區東榮里
6300100-003,臺北市,松山區,東榮里,0,李晏榕,104,綠黨社會民主黨聯盟,556,63,松山區東榮里
6300100-003,臺北市,松山區,東榮里,0,李成嶽,3,軍公教聯盟黨,23,63,松山區東榮里
6300100-003,臺北市,松山區,東榮里,0,黃麗香,2,無,6,63,松山區東榮里
6300100-003,臺北市,松山區,東榮里,1,蔣萬安,408,中國國民黨,2130,63,松山區東榮里
