Village_Name,VILLAGE_ID,當選人,當選人所屬黨派,次高票者,次高票所屬政黨,當選人得票數,次高票得票數,有效票的SUM,投票數,選舉人數,投票率
北投區八仙里,6301200-018,吳思瑤,民主進步黨,丁守中,中國國民黨,555,415,3130,3156,4581,69.03
北投區大同里,6301200-024,吳思瑤,民主進步黨,丁守中,中國國民黨,687,405,3499,3536,5029,70.84
北投區大屯里,6301200-041,吳思瑤,民主進步黨,丁守中,中國國民黨,437,191,663,678,1033,65.63
北投區稻香里,6301200-035,吳思瑤,民主進步黨,丁守中,中國國民黨,426,440,2857,2882,4388,65.94
北投區東華里,6301200-012,吳思瑤,民主進步黨,丁守中,中國國民黨,366,495,2671,2692,3668,73.02
北投區豐年里,6301200-034,吳思瑤,民主進步黨,丁守中,中國國民黨,419,333,2672,2705,3819,71.55
北投區福興里,6301200-004,吳思瑤,民主進步黨,丁守中,中國國民黨,475,430,4106,4159,5779,72.01
北投區關渡里,6301200-038,吳思瑤,民主進步黨,丁守中,中國國民黨,565,462,6451,6560,9541,68.76
北投區湖山里,6301200-040,吳思瑤,民主進步黨,丁守中,中國國民黨,298,198,1038,1051,1588,66.34
北投區湖田里,6301200-042,吳思瑤,民主進步黨,丁守中,中國國民黨,299,216,558,568,885,64.18
北投區吉利里,6301200-013,吳思瑤,民主進步黨,丁守中,中國國民黨,383,449,3950,3990,5586,71.285
北投區吉慶里,6301200-014,吳思瑤,民主進步黨,丁守中,中國國民黨,540,426,3072,3110,4284,72.96
北投區建民里,6301200-001,吳思瑤,民主進步黨,丁守中,中國國民黨,449,386,2565,2585,3644,70.25
北投區開明里,6301200-029,吳思瑤,民主進步黨,丁守中,中國國民黨,592,618,3891,3926,5644,69.47
北投區立農里,6301200-017,吳思瑤,民主進步黨,丁守中,中國國民黨,603,433,5264,5316,7461,71.95
北投區立賢里,6301200-016,吳思瑤,民主進步黨,丁守中,中國國民黨,496,445,3105,3152,4482,69.99
北投區林泉里,6301200-026,吳思瑤,民主進步黨,丁守中,中國國民黨,315,565,1846,1862,3002,62.045
北投區奇岩里,6301200-020,吳思瑤,民主進步黨,丁守中,中國國民黨,566,478,5692,5760,8175,71.91
北投區清江里,6301200-021,吳思瑤,民主進步黨,丁守中,中國國民黨,407,225,5081,5132,8259,69.8
北投區泉源里,6301200-039,吳思瑤,民主進步黨,丁守中,中國國民黨,209,110,1357,1371,2072,66.625
北投區榮光里,6301200-005,吳思瑤,民主進步黨,丁守中,中國國民黨,496,450,4131,4174,6032,69.04
北投區榮華里,6301200-006,吳思瑤,民主進步黨,丁守中,中國國民黨,642,478,4427,4463,6324,70.845
北投區石牌里,6301200-003,吳思瑤,民主進步黨,丁守中,中國國民黨,615,450,3240,3270,4599,70.64
北投區桃源里,6301200-036,吳思瑤,民主進步黨,丁守中,中國國民黨,511,300,3557,3599,5157,69.755
北投區溫泉里,6301200-025,吳思瑤,民主進步黨,丁守中,中國國民黨,505,447,3924,3964,5759,69.095
北投區文化里,6301200-033,吳思瑤,民主進步黨,丁守中,中國國民黨,290,525,2449,2477,3475,71.69
北投區文林里,6301200-002,吳思瑤,民主進步黨,丁守中,中國國民黨,458,295,2542,2570,3605,72.3
北投區秀山里,6301200-032,吳思瑤,民主進步黨,丁守中,中國國民黨,467,478,1995,2017,2908,69.435
北投區一德里,6301200-037,吳思瑤,民主進步黨,丁守中,中國國民黨,722,327,4195,4231,6089,70.41
北投區永和里,6301200-009,吳思瑤,民主進步黨,丁守中,中國國民黨,524,469,5175,5225,7632,68.57
北投區永明里,6301200-011,吳思瑤,民主進步黨,丁守中,中國國民黨,407,394,2844,2871,3958,72.96
北投區永欣里,6301200-010,吳思瑤,民主進步黨,丁守中,中國國民黨,446,582,4438,4489,6458,68.505
北投區裕民里,6301200-007,吳思瑤,民主進步黨,丁守中,中國國民黨,538,533,4489,4537,6491,69.43
北投區長安里,6301200-023,吳思瑤,民主進步黨,丁守中,中國國民黨,615,431,3364,3399,5158,66.84
北投區振華里,6301200-008,吳思瑤,民主進步黨,丁守中,中國國民黨,634,510,4523,4561,6469,71.105
北投區智仁里,6301200-031,吳思瑤,民主進步黨,丁守中,中國國民黨,597,505,3531,3574,5187,69.37
北投區中和里,6301200-030,吳思瑤,民主進步黨,丁守中,中國國民黨,463,396,3233,3269,4328,69.86
北投區中心里,6301200-027,吳思瑤,民主進步黨,丁守中,中國國民黨,460,353,3494,3540,5524,64.295
北投區中庸里,6301200-028,吳思瑤,民主進步黨,丁守中,中國國民黨,416,274,2581,2607,3820,68.24
北投區洲美里,6301200-019,吳思瑤,民主進步黨,丁守中,中國國民黨,847,349,1244,1262,1813,69.61
北投區尊賢里,6301200-015,吳思瑤,民主進步黨,丁守中,中國國民黨,543,328,2761,2798,3912,71.77
大安區昌隆里,6300300-008,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,398,358,1742,1782,2692,66.18
大安區車層里,6300300-055,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,339,338,3402,3465,5319,65.03
大安區誠安里,6300300-009,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,337,274,2352,2398,3635,66.29
大安區大學里,6300300-043,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,346,323,4754,4852,7004,69.2
大安區德安里,6300300-001,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,337,256,2957,3023,4735,63.965
大安區敦安里,6300300-051,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,309,342,3245,3322,5141,63.99
大安區敦煌里,6300300-053,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,334,317,3302,3375,4978,67.515
大安區法治里,6300300-034,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,429,269,2487,2532,3819,65.62
大安區芳和里,6300300-044,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,347,272,3240,3294,4967,65.805
大安區福住里,6300300-017,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,393,277,3265,3340,4942,67.12
大安區古風里,6300300-013,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,302,294,2369,2418,3510,68.34
大安區古莊里,6300300-014,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,459,311,3826,3896,5801,67.19
大安區光明里,6300300-019,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,387,344,1853,1896,2764,68.595
大安區光武里,6300300-010,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,332,249,4033,4139,6466,64.4
大安區光信里,6300300-056,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,353,304,4254,4346,6436,68.09
大安區和安里,6300300-003,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,424,265,3610,3690,5470,67.64
大安區虎嘯里,6300300-038,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,298,225,2114,2161,3222,66.7
大安區華聲里,6300300-054,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,407,240,2335,2381,3589,67.56
大安區建安里,6300300-049,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,419,308,2611,2668,4166,63.55
大安區建倫里,6300300-050,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,383,306,3228,3304,5174,63.65
大安區錦安里,6300300-016,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,339,297,3126,3166,4721,66.78
大安區錦華里,6300300-021,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,457,361,3046,3100,4396,70.45
大安區錦泰里,6300300-020,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,472,269,1859,1894,2787,67.95
大安區黎和里,6300300-048,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,489,384,2771,2846,4178,69.96
大安區黎孝里,6300300-047,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,429,332,4534,4608,6595,69.77
大安區黎元里,6300300-046,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,325,261,3103,3174,4696,67.23
大安區臨江里,6300300-033,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,409,266,2417,2463,3561,69.76
大安區龍安里,6300300-015,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,382,337,3441,3521,6485,69.545
大安區龍門里,6300300-041,蔣乃辛,中國國民黨,范雲,綠黨社會民主黨聯盟,319,310,2363,2398,3465,69.15
