村里名,VILLAGE_ID,有效票的SUM,投票數的SUM,選舉人數的SUM,投票率,當選人,當選人得票數,當選人所屬黨派,PARTY_ID,次高票者,次高票得票數,次高票所屬政黨
松山區莊敬里,6300100-002,3056,3109,4604,67.5%,蔣萬安,1579,中國國民黨,1,潘建志,1030,無
松山區東榮里,6300100-003,4490,4573,6527,70.1%,蔣萬安,2130,中國國民黨,1,潘建志,1698,無
松山區三民里,6300100-004,3857,3914,5763,67.9%,蔣萬安,1982,中國國民黨,1,潘建志,1358,無
松山區新益里,6300100-005,2807,2859,4012,71.3%,蔣萬安,1292,中國國民黨,1,潘建志,1103,無
松山區富錦里,6300100-006,2909,2973,4387,67.8%,蔣萬安,1484,中國國民黨,1,潘建志,1026,無
松山區新東里,6300100-007,2845,2895,4144,69.9%,蔣萬安,1362,中國國民黨,1,潘建志,1054,無
松山區富泰里,6300100-008,2558,2624,3932,66.7%,蔣萬安,1426,中國國民黨,1,潘建志,775,無
松山區介壽里,6300100-009,2487,2528,3617,69.9%,蔣萬安,1116,中國國民黨,1,潘建志,965,無
松山區精忠里,6300100-010,2392,2445,3557,68.7%,蔣萬安,1241,中國國民黨,1,潘建志,822,無
松山區東光里,6300100-011,4105,4192,6194,67.7%,蔣萬安,2117,中國國民黨,1,潘建志,1427,無
松山區龍田里,6300100-012,5404,5524,8198,67.4%,蔣萬安,3381,中國國民黨,1,潘建志,1326,無
松山區東昌里,6300100-013,1513,1558,2168,71.9%,蔣萬安,686,中國國民黨,1,潘建志,608,無
松山區東勢里,6300100-014,2430,2479,3665,67.6%,蔣萬安,1102,中國國民黨,1,潘建志,927,無
松山區中華里,6300100-015,3485,3549,5083,69.8%,蔣萬安,1758,中國國民黨,1,潘建志,1233,無
松山區民有里,6300100-016,5032,5139,7413,69.3%,蔣萬安,2312,中國國民黨,1,潘建志,2041,無
松山區民福里,6300100-017,3842,3923,5589,70.2%,蔣萬安,2117,中國國民黨,1,潘建志,1257,無
松山區慈祐里,6300100-018,3826,3885,6798,57.1%,費鴻泰,1362,中國國民黨,1,楊實秋,1826,無
松山區安平里,6300100-019,4842,4958,7203,68.8%,蔣萬安,2070,中國國民黨,1,潘建志,2047,無
松山區鵬程里,6300100-020,3161,3215,4673,68.8%,蔣萬安,1802,中國國民黨,1,潘建志,935,無
松山區自強里,6300100-021,5562,5668,8105,69.9%,蔣萬安,3994,中國國民黨,1,潘建志,986,無
