ID,county,謝長廷,馬英九,,
6301200-001,臺北市北投區建民里,1396,1307,建民里,
6301200-002,臺北市北投區文林里,1307,1378,,
6301200-003,臺北市北投區石牌里,1378,1660,,
6301200-004,臺北市北投區福興里,1660,1592,,
6301200-005,臺北市北投區榮光里,1592,1851,,
6301200-006,臺北市北投區榮華里,1851,1887,,
6301200-007,臺北市北投區裕民里,1887,2626,,
6301200-008,臺北市北投區振華里,2626,1822,,
6301200-009,臺北市北投區永和里,1822,2757,,
6301200-010,臺北市北投區永欣里,2757,1891,,
6301200-011,臺北市北投區永明里,1891,3060,,
6301200-012,臺北市北投區東華里,3060,1880,,
6301200-013,臺北市北投區吉利里,1880,2913,,
6301200-014,臺北市北投區吉慶里,2913,1963,,
6301200-015,臺北市北投區尊賢里,1963,3199,,
6301200-016,臺北市北投區立賢里,3199,2230,,
6301200-017,臺北市北投區立農里,2230,3302,,
6301200-018,臺北市北投區八仙里,3302,1589,,
6301200-019,臺北市北投區洲美里,1589,3145,,
6301200-020,臺北市北投區奇岩里,3145,1113,,
6301200-021,臺北市北投區清江里,1113,1917,,
6301200-022,臺北市北投區中央里,1917,1090,,
6301200-023,臺北市北投區長安里,1090,2023,,
6301200-024,臺北市北投區大同里,2023,1444,,
6301200-025,臺北市北投區溫泉里,1444,2799,,
6301200-026,臺北市北投區林泉里,2799,1515,,
6301200-027,臺北市北投區中心里,1515,1837,,
6301200-028,臺北市北投區中庸里,1837,1407,,
6301200-029,臺北市北投區開明里,1407,1637,,
6301200-030,臺北市北投區中和里,1637,1468,,
6301200-031,臺北市北投區智仁里,1468,1886,,
6301200-032,臺北市北投區秀山里,1886,2444,,
6301200-033,臺北市北投區文化里,2444,3250,,
6301200-034,臺北市北投區豐年里,3250,1488,,
6301200-035,臺北市北投區稻香里,1488,1774,,
6301200-036,臺北市北投區桃源里,1774,781,,
6301200-037,臺北市北投區一德里,781,464,,
6301200-038,臺北市北投區關渡里,464,2530,,
6301200-039,臺北市北投區泉源里,2530,3660,,
6301200-040,臺北市北投區湖山里,3660,2575,,
6301200-041,臺北市北投區大屯里,2575,3094,,
6301200-042,臺北市北投區湖田里,3094,2252,,
6301100-001,臺北市士林區仁勇里,2252,2508,,
6301100-002,臺北市士林區義信里,2508,1673,,
6301100-003,臺北市士林區福林里,1673,2156,,
6301100-004,臺北市士林區福德里,2156,1820,,
6301100-005,臺北市士林區福志里,1820,2122,,
6301100-006,臺北市士林區舊佳里,2122,1776,,
6301100-007,臺北市士林區福佳里,1776,2336,,
6301100-008,臺北市士林區後港里,2336,620,,
6301100-009,臺北市士林區福中里,620,1472,,
6301100-010,臺北市士林區前港里,1472,1525,,
6301100-011,臺北市士林區百齡里,1525,2272,,
6301100-012,臺北市士林區承德里,2272,1282,,
6301100-013,臺北市士林區福華里,1282,1556,,
6301100-014,臺北市士林區明勝里,1556,1581,,
6301100-015,臺北市士林區福順里,1581,2560,,
6301100-016,臺北市士林區富光里,2560,1246,,
6301100-017,臺北市士林區葫蘆里,1246,2020,,
6301100-018,臺北市士林區葫東里,2020,1437,,
6301100-019,臺北市士林區社子里,1437,2495,,
6301100-020,臺北市士林區社新里,2495,850,,
6301100-021,臺北市士林區社園里,850,1383,,
6301100-022,臺北市士林區永倫里,1383,657,,
6301100-023,臺北市士林區福安里,657,2138,,
6301100-024,臺北市士林區富洲里,2138,1037,,
6301100-025,臺北市士林區岩山里,1037,1678,,
6301100-026,臺北市士林區名山里,1678,1130,,
6301100-027,臺北市士林區德行里,1130,1955,,
6301100-028,臺北市士林區德華里,1955,1636,,
6301100-029,臺北市士林區聖山里,1636,1939,,
6301100-030,臺北市士林區忠誠里,1939,1944,,
6301100-031,臺北市士林區芝山里,1944,2211,,
6301100-032,臺北市士林區東山里,2211,2796,,
6301100-033,臺北市士林區三玉里,2796,4046,,
6301100-034,臺北市士林區蘭雅里,4046,738,,
6301100-035,臺北市士林區蘭興里,738,764,,
6301100-036,臺北市士林區天福里,764,555,,
6301100-037,臺北市士林區天祿里,555,723,,
6301100-038,臺北市士林區天壽里,723,457,,
6301100-039,臺北市士林區天和里,457,280,,
